rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
1,VFL Fredenbeck,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,1,1,1,0,0,34,22,12,2,2.0,,fussball.de
2,HC Empor Rostock,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,1,1,1,0,0,42,32,10,2,2.0,,fussball.de
3,TuS Vinnhorst,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,2,1,1,0,0,38,28,10,2,2.0,,fussball.de
4,Saase3 Leutershausen Handball,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,1,1,1,0,0,36,26,10,2,2.0,,fussball.de
5,Rhein-Neckar Löwen II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,2,1,1,0,0,35,26,9,2,2.0,,fussball.de
6,HSG Krefeld Niederrhein,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,2,1,1,0,0,41,33,8,2,2.0,,fussball.de
7,VFL Pfullingen,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,3,1,1,0,0,33,25,8,2,2.0,,fussball.de
8,SV 04 Plauen-Oberlosa,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,2,1,1,0,0,38,33,5,2,2.0,,fussball.de
9,TUS Spenge,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,3,1,1,0,0,35,30,5,2,2.0,,fussball.de
10,DHK Flensborg,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,3,1,1,0,0,30,25,5,2,2.0,,fussball.de
11,HLZ Friesenheim/Hochdorf II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,3,1,1,0,0,28,23,5,2,2.0,,fussball.de
12,SV Salamander Kornwestheim,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,4,1,1,0,0,40,36,4,2,2.0,,fussball.de
13,MT Melsungen II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,4,1,1,0,0,35,31,4,2,2.0,,fussball.de
14,HG Saarlouis,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,4,1,1,0,0,32,28,4,2,2.0,,fussball.de
15,TV Kirchzell,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,5,1,1,0,0,34,31,3,2,2.0,,fussball.de
16,TSV Altenholz,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,4,1,1,0,0,32,29,3,2,2.0,,fussball.de
17,ESG Gensungen/Felsberg,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,5,1,1,0,0,31,28,3,2,2.0,,fussball.de
18,TSB Heilbronn-Horkheim,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,5,1,1,0,0,38,36,2,2,2.0,,fussball.de
19,Team HandbALL Lippe II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,6,1,1,0,0,35,33,2,2,2.0,,fussball.de
20,EHV AUE,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,5,1,1,0,0,32,30,2,2,2.0,,fussball.de
21,TSV Burgdorf II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,6,1,1,0,0,31,29,2,2,2.0,,fussball.de
22,TSG A-H Bielefeld,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,7,1,1,0,0,28,26,2,2,2.0,,fussball.de
23,TSV Anderten,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,8,1,1,0,0,35,34,1,2,2.0,,fussball.de
24,TSV NEUHAUSEN/Filder,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,6,1,1,0,0,34,33,1,2,2.0,,fussball.de
25,MTV Braunschweig,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,7,1,1,0,0,33,32,1,2,2.0,,fussball.de
26,HC Oppenweiler/Backnang,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,7,1,1,0,0,32,31,1,2,2.0,,fussball.de
27,FÜCHSE BERLIN Reinickendorf II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,8,1,1,0,0,25,24,1,2,2.0,,fussball.de
28,SG Pforzheim/Eutingen,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,1,2,1,1,0,43,29,14,3,1.5,,fussball.de
29,HSG Rodgau Nieder-Roden,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,6,1,0,1,0,30,30,0,1,1.0,,fussball.de
30,Longericher SC,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,7,1,0,1,0,30,30,0,1,1.0,,fussball.de
31,TSG Münster,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,8,1,0,1,0,28,28,0,1,1.0,,fussball.de
32,TSV Bayer Dormagen II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,9,1,0,1,0,28,28,0,1,1.0,,fussball.de
33,HSG Albstadt,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,8,2,0,1,1,29,43,-14,1,0.5,,fussball.de
34,HSG Hanau,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
35,HSG Konstanz,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,9,0,0,0,0,0,0,0,0,0.0,,fussball.de
36,TV Gelnhausen,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,11,0,0,0,0,0,0,0,0,0.0,,fussball.de
37,Wölfe Würzburg,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,10,0,0,0,0,0,0,0,0,0.0,,fussball.de
38,HC Eintracht Hildesheim,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,9,1,0,0,1,34,35,-1,0,0.0,,fussball.de
39,HC Erlangen II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,11,1,0,0,1,33,34,-1,0,0.0,,fussball.de
40,Handball Club Hamburg II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,9,1,0,0,1,32,33,-1,0,0.0,,fussball.de
