staffel_id,verband,gebiet,ligastufe,spielklasse,staffel,mannschaften,spiele_gesamt,tore_gesamt,punkte_gesamt,tabellenfuehrer,tabellenfuehrer_punkte,quelle
bl1/2026,,,1,Bundesliga,Bundesliga,18,10,40,28,FC Bayern München,3,OpenLigaDB
bl2/2026,,,2,2. Bundesliga,2. Bundesliga,18,29,105,80,1. FC Nürnberg,9,OpenLigaDB
bl3/2026,,,3,3. Liga,3. Liga,20,31,111,88,MSV Duisburg,9,OpenLigaDB
rln/2026,,,4,Regionalliga Nord,Regionalliga Nord,18,56,208,155,VfB Oldenburg,16,OpenLigaDB
rlno/2026,,,4,Regionalliga Nordost,Regionalliga Nordost,18,63,193,172,Rot-Weiß Erfurt,17,OpenLigaDB
031D0NRQ3O000004VS5489BUVUR5FS5A-G,,Deutschland,4,Regionalliga,Regionalliga Südwest,18,38,122,100,Kickers Offenbach,12,fussball.de
031253DN8G000005VS5489BTVT51B5B5-G,,Deutschland,4,Regionalliga,Regionalliga West,18,54,178,144,FC Gütersloh,16,fussball.de
0307PKMJ7S000009VS5489BUVT69HBT7-G,Bayern,Bayern,4,Regionalliga Bayern,Regionalliga Bayern,19,59,184,161,TSV Buchbach,14,fussball.de
031DMS4JCO000009VS5489BUVUR5FS5A-G,,Deutschland,5,Oberliga,Herren Oberliga Rheinland-Pfalz/Saar,18,46,178,133,FV Engers 07,13,fussball.de
0316DLRBJC00000AVS5489BUVSBBVPEU-G,,Deutschland,5,Oberliga,NOFV-Oberliga Nord,16,24,63,65,Berliner AK 07,7,fussball.de
0316DLRBR8000009VS5489BUVSBBVPEU-G,,Deutschland,5,Oberliga,NOFV-Oberliga Süd,16,24,86,69,VfB Germania Halberstadt,9,fussball.de
0307PKTD20000000VS5489BUVT69HBT7-G,Bayern,Bayern,5,Bayernliga,Bayernliga Nord,18,74,238,205,DJK Gebenbach,22,fussball.de
0307PKTEL0000054VS5489BUVT69HBT7-G,Bayern,Bayern,5,Bayernliga,Bayernliga Süd,18,76,254,205,FC Pipinsried,19,fussball.de
031DQ5CNJG00000QVS5489BTVUS470OH-G,Bremen,Bremen,5,Verbandsliga,Bremen-Liga,16,35,158,100,Blumenthaler SV,12,fussball.de
0318JRPNOS000007VS5489BTVSK8S3O6-G,Hamburg,Hamburg,5,Verbandsliga,Gamesright Oberliga Hamburg,18,47,182,133,Dassendorf 1.Hr.,13,fussball.de
0318HOM0R000000BVS5489BUVV628VP4-G,Hessen,Hessen,5,Hessenliga,Lotto Hessenliga,18,56,196,148,Hünfelder SV,16,fussball.de
031CNVCRES00000FVS5489BUVUR5FS5A-G,Mittelrhein,Mittelrhein,5,Verbandsliga,Mittelrheinliga,16,8,30,21,VfL 08 Vichttal,3,fussball.de
0311F9LVPS00000FVS5489BUVVARDA0V-G,Niederrhein,Niederrhein,5,Oberliga Niederrhein,Oberliga Niederrhein,18,28,102,74,SpVg Schonnebeck,7,fussball.de
0318JH0SCK000006VS5489BUVV628VP4-G,Niedersachsen,Niedersachsen,5,Oberliga Niedersachsen,Oberliga Niedersachsen,16,31,107,86,Heeslinger SC,10,fussball.de
031AVH9TIC000004VS5489BTVSK8S3O6-G,Schleswig-Holstein,Schleswig-Holstein,5,Oberliga Schleswig-Holstein,Flens-Oberliga · Schleswig-Holstein,16,49,200,137,VfR Neumünster,16,fussball.de
0313Q1DCFS000012VS5489BTVU7GTVLE-G,Westfalen,Westfalen,5,Oberliga Westfalen,Oberliga Westfalen,18,39,137,108,1. FC Gievenbeck,10,fussball.de
030J1UFK04000006VS5489BTVTDO5LMG-G,Württemberg,Württemberg,5,Oberliga,Oberliga Baden-Württemberg,18,37,129,104,TSG Backnang,12,fussball.de
03188V27L800000JVS5489BTVU7GTVLE-G,Baden,Baden,6,Verbandsliga,bfv-Verbandsliga · Baden,15,21,80,59,1.FC Bruchsal 1899,9,fussball.de
0307PL23RO000007VS5489BUVT69HBT7-G,Bayern,Bayern,6,Landesliga,Landesliga Mitte · Bayern,18,82,291,234,ASV Burglengenfeld,21,fussball.de
0307PL24GS00001SVS5489BUVT69HBT7-G,Bayern,Bayern,6,Landesliga,Landesliga Nordost · Bayern,18,80,275,218,SpVgg Mögeldorf,22,fussball.de
0307PL25JS000057VS5489BUVT69HBT7-G,Bayern,Bayern,6,Landesliga,Landesliga Nordwest · Bayern,18,81,297,229,TSV Abtswind,27,fussball.de
0307PL235S00003OVS5489BUVT69HBT7-G,Bayern,Bayern,6,Landesliga,Landesliga Südost · Bayern,18,82,363,232,TSV Murnau 1865,23,fussball.de
0307PL268O000006VS5489BUVT69HBT7-G,Bayern,Bayern,6,Landesliga,Landesliga Südwest · Bayern,18,81,297,235,VfB Durach e.V.,27,fussball.de
0317AFL384000001VS5489BUVSBBVPEU-G,Berlin,Berlin,6,Verbandsliga,7er Herren Berlin-Liga,10,4,27,6,Anadoluspor Berlin 1970 7er,3,fussball.de
0317AFL2VO000008VS5489BUVSBBVPEU-G,Berlin,Berlin,6,Verbandsliga,Herren Berlin-Liga,19,19,70,50,SC Charlottenburg,6,fussball.de
0314O7IITS000005VS5489BUVSBBVPEU-G,Brandenburg,Brandenburg,6,Verbandsliga,Brandenburgliga,16,8,30,23,SV 1908 Grün-Weiss Ahrensfelde,3,fussball.de
031DQALTOO00000UVS5489BTVUS470OH-G,Bremen,Bremen,6,Landesliga,Landesliga · Bremen,16,18,77,53,Bremen United,9,fussball.de
0318JS8A0C00000FVS5489BTVSK8S3O6-G,Hamburg,Hamburg,6,Landesliga,LL 01 · Hamburg,16,30,133,87,Voran Ohe 1.Hr.,12,fussball.de
0318JS8A88000004VS5489BTVSK8S3O6-G,Hamburg,Hamburg,6,Landesliga,LL 02 · Hamburg,16,26,90,72,Rugenbergen 1.Hr.,10,fussball.de
0318I3K77C00000BVS5489BUVV628VP4-G,Hessen,Hessen,6,Verbandsliga,VL Gr.Mitte · Hessen,17,45,214,127,TuS Hornau,15,fussball.de
0318HV9REO00000AVS5489BUVV628VP4-G,Hessen,Hessen,6,Verbandsliga,VL Gr.Nord · Hessen,17,49,185,136,FSV Wolfhagen,12,fussball.de
0318I2SMPG00000CVS5489BUVV628VP4-G,Hessen,Hessen,6,Verbandsliga,VL Gr.Süd · Hessen,17,50,200,142,SV Pars Neu-Isenburg,19,fussball.de
03162F6VV0000001VS5489BTVU7GTVLE-G,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,6,Verbandsliga,Verbandsliga Herren · Mecklenburg-Vorpommern,16,10,40,29,1. FC Neubrandenburg 04,6,fussball.de
031CO3JQMO00000HVS5489BUVUR5FS5A-G,Mittelrhein,Mittelrhein,6,Landesliga,"Landesliga, Staffel 1 · Mittelrhein",16,9,38,27,SC Blau-Weiß Köln,3,fussball.de
031CO3JR0C00000FVS5489BUVUR5FS5A-G,Mittelrhein,Mittelrhein,6,Landesliga,"Landesliga, Staffel 2 · Mittelrhein",16,8,35,22,Türkischer SV Düren,3,fussball.de
0311F9JM0S00000CVS5489BUVVARDA0V-G,Niederrhein,Niederrhein,6,Landesliga,Landesliga Gruppe 1 · Niederrhein,18,29,101,81,Rheinland Hamborn,9,fussball.de
0311F9JMFO00000IVS5489BUVVARDA0V-G,Niederrhein,Niederrhein,6,Landesliga,Landesliga Gruppe 2 · Niederrhein,18,27,98,75,DJK Adler Union Frintrop,9,fussball.de
0318NLIBU0000008VS5489BUVV628VP4-G,Niedersachsen,Bezirk Braunschweig,6,Landesliga,Landesliga Braunschweig,16,33,147,95,1. SC Göttingen 05,13,fussball.de
0316M6KR58000004VS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Hannover,6,Landesliga,Landesliga Hannover,15,28,117,81,SV Arminia Hannover,12,fussball.de
0312IJRKOK000005VS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Lüneburg,6,Landesliga,Landesliga Lüneburg,16,34,154,96,SV Ahlerstedt/Ottendorf,13,fussball.de
03142CTJRC00000CVS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Weser-Ems,6,Landesliga,Landesliga Weser-Ems,16,44,149,126,SV Eintracht Nordhorn,18,fussball.de
031AU2ESDK00000IVS5489BUVV628VP4-G,Rheinland,Rheinland,6,Rheinlandliga,Rheinlandliga Herren,18,39,166,109,SG 2000 Mülheim-Kärlich,13,fussball.de
03108N8AOK000011VS5489BTVT51B5B5-G,Saarland,Saarland,6,Saarland-Liga,Schröder-Liga Saar · Saarland,18,66,248,181,SF Köllerbach,16,fussball.de
031B6510Q4000003VS5489BUVV628VP4-G,Sachsen,Sachsen,6,Landesliga,Sachsenliga,16,25,111,71,SG Taucha 99,9,fussball.de
0318MJ8884000004VS5489BTVSK8S3O6-G,Sachsen-Anhalt,Sachsen-Anhalt,6,Verbandsliga,Verbandsliga · Sachsen-Anhalt,16,24,82,67,SV Dessau 05,9,fussball.de
031AHTIHHC000008VS5489BUVV628VP4-G,Schleswig-Holstein,Schleswig-Holstein,6,Landesliga,Senioren Landesliga Holstein · Schleswig-Holstein,16,49,226,138,Eichholzer SV,21,fussball.de
031AHTGOGS000008VS5489BUVV628VP4-G,Schleswig-Holstein,Schleswig-Holstein,6,Landesliga,Senioren Landesliga Schleswig · Schleswig-Holstein,16,48,190,134,TSV Kronshagen,16,fussball.de
031BOPI4N0000004VS5489BUVUR5FS5A-G,Südbaden,Südbaden,6,Verbandsliga,Verbandsliga Südbaden,16,25,91,67,VfR Hausen,8,fussball.de
0314L2G148000006VS5489BUVSBBVPEU-G,Südwest,Südwest,6,Verbandsliga,Herren Verbandsliga Südwest,17,41,145,112,FC Bienwald Kandel,11,fussball.de
03155QQ1O0000009VS5489BUVSBBVPEU-G,Thüringen,Thüringen,6,Verbandsliga,11Teamsports Thüringenliga,16,31,112,87,SV SCHOTT Jena,10,fussball.de
0313Q1I0V800001GVS5489BTVU7GTVLE-G,Westfalen,Westfalen,6,Verbandsliga,Westfalenliga Herren Staffel 1,16,33,134,94,Rot Weiss Ahlen,10,fussball.de
0313Q1I1E800001OVS5489BTVU7GTVLE-G,Westfalen,Westfalen,6,Verbandsliga,Westfalenliga Herren Staffel 2,16,32,139,90,FC Roj,12,fussball.de
03160STGBC000005VS5489BUVSBBVPEU-G,Württemberg,Württemberg,6,Verbandsliga,Verbandsliga · Württemberg,16,26,95,74,1. Göppinger SV,10,fussball.de
03188VGCUS00000GVS5489BTVU7GTVLE-G,Baden,Baden,7,Landesliga,bfv-Landesliga Mittelbaden,17,33,136,94,ASV Durlach,12,fussball.de
03188VGCFS000000VS5489BTVU7GTVLE-G,Baden,Baden,7,Landesliga,bfv-Landesliga Odenwald · Baden,16,24,87,69,FC Grünsfeld,9,fussball.de
03188VGCOG00000HVS5489BTVU7GTVLE-G,Baden,Baden,7,Landesliga,bfv-Landesliga Rhein-Neckar · Baden,15,22,76,60,TSV Amicitia Viernheim,9,fussball.de
0319QP91EO000005VS5489BUVV628VP4-G,Bayern,Bezirk Mittelfranken,7,Bezirksliga,BZL Mittelfranken Nord,16,64,226,184,ASV Vach,21,fussball.de
031B3M2RRC000006VS5489BTVSK8S3O6-G,Bayern,Bezirk Mittelfranken,7,Bezirksliga,BZL Mittelfranken Süd,16,62,250,170,SV Alesheim,16,fussball.de
03152BU2G8000005VS5489BTVU7GTVLE-G,Bayern,Bezirk Niederbayern,7,Bezirksliga,BzL Ndb. Ost · Bezirk Niederbayern,16,67,211,183,TSV Karpfham,27,fussball.de
03152BU248000005VS5489BTVU7GTVLE-G,Bayern,Bezirk Niederbayern,7,Bezirksliga,BzL Ndb. West · Bezirk Niederbayern,16,64,246,180,FSV Landau/Isar,22,fussball.de
0318M7EJ2O000006VS5489BUVV628VP4-G,Bayern,Bezirk Oberbayern,7,Bezirksliga,001 BZL Oberbayern Nord,16,59,206,167,FC Türk Sport Garching,18,fussball.de
0318M7HIL4000009VS5489BUVV628VP4-G,Bayern,Bezirk Oberbayern,7,Bezirksliga,002 BZL Oberbayern Ost,15,50,166,140,FC Töging,16,fussball.de
0318M7IG8C000035VS5489BUVV628VP4-G,Bayern,Bezirk Oberbayern,7,Bezirksliga,003 BZL Oberbayern Süd,16,56,220,160,1.FC Penzberg,21,fussball.de
03124F6F3S000003VS5489BUVVARDA0V-G,Bayern,Bezirk Oberfranken,7,Bezirksliga,Bezirksliga Oberfranken Ost,16,64,229,179,SV Mitterteich,24,fussball.de
03124EQN4C000004VS5489BUVVARDA0V-G,Bayern,Bezirk Oberfranken,7,Bezirksliga,Bezirksliga Oberfranken West,16,64,233,182,1. FC Lichtenfels,24,fussball.de
03106RABB4000004VS5489BTVT51B5B5-G,Bayern,Bezirk Oberpfalz,7,Bezirksliga,Bezirksliga Oberpfalz Nord,16,65,259,184,SF Ursulapoppenricht I,17,fussball.de
03106R6CFG000004VS5489BTVT51B5B5-G,Bayern,Bezirk Oberpfalz,7,Bezirksliga,Bezirksliga Oberpfalz Süd,15,61,183,158,TV Parsberg,20,fussball.de
03151UJ1KC000005VS5489BUVSBBVPEU-G,Bayern,Bezirk Schwaben,7,Bezirksliga,BZL Schwaben Nord,16,57,186,159,SpVgg Joshofen Bergheim,18,fussball.de
03151UJ1C4000006VS5489BUVSBBVPEU-G,Bayern,Bezirk Schwaben,7,Bezirksliga,BZL Schwaben Süd,16,52,212,145,SV Mering,15,fussball.de
030V9PBJRG00002TVS5489BTVT51B5B5-G,Bayern,Bezirk Unterfranken,7,Bezirksliga,BZL Ufr-Ost · Bezirk Unterfranken,17,56,208,156,FC Strahlungen,19,fussball.de
030V9PBLI800001VVS5489BTVT51B5B5-G,Bayern,Bezirk Unterfranken,7,Bezirksliga,BZL Ufr-West · Bezirk Unterfranken,17,55,190,155,FC Würzburger Kickers 2,17,fussball.de
