rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
1,FC Bayern München,,,1,Bundesliga,Bundesliga,bl1/2026,1,1,1,0,0,5,1,4,3,3.0,0,OpenLigaDB
2,SC Freiburg,,,1,Bundesliga,Bundesliga,bl1/2026,2,1,1,0,0,4,1,3,3,3.0,,OpenLigaDB
3,FC Augsburg,,,1,Bundesliga,Bundesliga,bl1/2026,3,1,1,0,0,3,0,3,3,3.0,,OpenLigaDB
4,RB Leipzig,,,1,Bundesliga,Bundesliga,bl1/2026,4,1,1,0,0,3,0,3,3,3.0,-2,OpenLigaDB
5,Borussia Dortmund,,,1,Bundesliga,Bundesliga,bl1/2026,5,1,1,0,0,2,0,2,3,3.0,,OpenLigaDB
6,SV 07 Elversberg,,,1,Bundesliga,Bundesliga,bl1/2026,6,1,1,0,0,3,2,1,3,3.0,-2,OpenLigaDB
7,VfB Stuttgart,,,1,Bundesliga,Bundesliga,bl1/2026,7,2,1,0,1,5,6,-1,3,1.5,11,OpenLigaDB
8,1. FC Köln,,,1,Bundesliga,Bundesliga,bl1/2026,8,2,1,0,1,4,6,-2,3,1.5,-5,OpenLigaDB
9,1. FC Union Berlin,,,1,Bundesliga,Bundesliga,bl1/2026,9,1,0,1,0,3,3,0,1,1.0,-4,OpenLigaDB
10,Eintracht Frankfurt,,,1,Bundesliga,Bundesliga,bl1/2026,10,1,0,1,0,3,3,0,1,1.0,-4,OpenLigaDB
11,1. FSV Mainz 05,,,1,Bundesliga,Bundesliga,bl1/2026,11,1,0,1,0,0,0,0,1,1.0,-4,OpenLigaDB
12,SC Paderborn 07,,,1,Bundesliga,Bundesliga,bl1/2026,12,1,0,1,0,0,0,0,1,1.0,-4,OpenLigaDB
13,Bayer 04 Leverkusen,,,1,Bundesliga,Bundesliga,bl1/2026,13,1,0,0,1,2,3,-1,0,0.0,2,OpenLigaDB
14,TSG Hoffenheim,,,1,Bundesliga,Bundesliga,bl1/2026,14,1,0,0,1,2,3,-1,0,0.0,2,OpenLigaDB
15,Hamburger SV,,,1,Bundesliga,Bundesliga,bl1/2026,15,1,0,0,1,0,2,-2,0,0.0,,OpenLigaDB
16,SV Werder Bremen,,,1,Bundesliga,Bundesliga,bl1/2026,16,1,0,0,1,1,4,-3,0,0.0,,OpenLigaDB
17,Borussia Mönchengladbach,,,1,Bundesliga,Bundesliga,bl1/2026,17,1,0,0,1,0,3,-3,0,0.0,0,OpenLigaDB
18,FC Schalke 04,,,1,Bundesliga,Bundesliga,bl1/2026,18,1,0,0,1,0,3,-3,0,0.0,,OpenLigaDB
19,1. FC Nürnberg,,,2,2. Bundesliga,2. Bundesliga,bl2/2026,1,3,3,0,0,11,3,8,9,3.0,0,OpenLigaDB
20,Hertha BSC,,,2,2. Bundesliga,2. Bundesliga,bl2/2026,2,3,3,0,0,10,4,6,9,3.0,0,OpenLigaDB
21,VfL Wolfsburg,,,2,2. Bundesliga,2. Bundesliga,bl2/2026,3,3,2,1,0,6,2,4,7,2.33,0,OpenLigaDB
22,1. FC Heidenheim 1846,,,2,2. Bundesliga,2. Bundesliga,bl2/2026,4,3,2,0,1,10,10,0,6,2.0,0,OpenLigaDB
23,1. FC Magdeburg,,,2,2. Bundesliga,2. Bundesliga,bl2/2026,5,3,2,0,1,6,6,0,6,2.0,1,OpenLigaDB
24,1. FC Kaiserslautern,,,2,2. Bundesliga,2. Bundesliga,bl2/2026,6,3,1,2,0,2,1,1,5,1.67,6,OpenLigaDB
25,SpVgg Greuther Fürth,,,2,2. Bundesliga,2. Bundesliga,bl2/2026,9,3,1,1,1,7,8,-1,4,1.33,0,OpenLigaDB
26,Karlsruher SC,,,2,2. Bundesliga,2. Bundesliga,bl2/2026,7,4,1,2,1,6,8,-2,5,1.25,0,OpenLigaDB
27,Eintracht Braunschweig,,,2,2. Bundesliga,2. Bundesliga,bl2/2026,11,3,1,0,2,9,7,2,3,1.0,0,OpenLigaDB
28,DSC Arminia Bielefeld,,,2,2. Bundesliga,2. Bundesliga,bl2/2026,8,4,1,1,2,7,8,-1,4,1.0,-5,OpenLigaDB
29,VfL Bochum,,,2,2. Bundesliga,2. Bundesliga,bl2/2026,13,3,1,0,2,1,2,-1,3,1.0,2,OpenLigaDB
30,Hannover 96,,,2,2. Bundesliga,2. Bundesliga,bl2/2026,10,4,1,1,2,4,6,-2,4,1.0,6,OpenLigaDB
31,Energie Cottbus,,,2,2. Bundesliga,2. Bundesliga,bl2/2026,14,3,1,0,2,6,8,-2,3,1.0,1,OpenLigaDB
32,VfL Osnabrück,,,2,2. Bundesliga,2. Bundesliga,bl2/2026,15,3,1,0,2,4,7,-3,3,1.0,1,OpenLigaDB
33,Dynamo Dresden,,,2,2. Bundesliga,2. Bundesliga,bl2/2026,16,3,1,0,2,4,8,-4,3,1.0,1,OpenLigaDB
34,FC St. Pauli,,,2,2. Bundesliga,2. Bundesliga,bl2/2026,12,4,0,3,1,6,7,-1,3,0.75,-5,OpenLigaDB
35,Holstein Kiel,,,2,2. Bundesliga,2. Bundesliga,bl2/2026,17,3,0,2,1,4,6,-2,2,0.67,-7,OpenLigaDB
36,SV Darmstadt 98,,,2,2. Bundesliga,2. Bundesliga,bl2/2026,18,3,0,1,2,2,4,-2,1,0.33,-1,OpenLigaDB
37,MSV Duisburg,,,3,3. Liga,3. Liga,bl3/2026,1,3,3,0,0,10,2,8,9,3.0,0,OpenLigaDB
38,Hansa Rostock,,,3,3. Liga,3. Liga,bl3/2026,2,3,2,1,0,10,7,3,7,2.33,3,OpenLigaDB
39,TSG 1899 Hoffenheim II,,,3,3. Liga,3. Liga,bl3/2026,4,3,2,0,1,9,4,5,6,2.0,6,OpenLigaDB
40,Viktoria Köln,,,3,3. Liga,3. Liga,bl3/2026,5,3,2,0,1,9,7,2,6,2.0,6,OpenLigaDB
41,1. FC Saarbrücken,,,3,3. Liga,3. Liga,bl3/2026,6,3,2,0,1,8,6,2,6,2.0,-3,OpenLigaDB
42,SV Meppen,,,3,3. Liga,3. Liga,bl3/2026,7,3,2,0,1,5,3,2,6,2.0,-2,OpenLigaDB
